key,mean,std,max,min,25,50,75,game,model,agent,n_trains,processing,target_update,frame_skip,update_frequency,batch_size,gamma,initial_learning_rate,annealing,optimizer,loss_function,weight_decay,layer_sizes
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,-1075.52,639.97,-284.0,-3708.0,-1207.0,-924.0,-664.0,MountainCar-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128]
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,-609.22,417.83,-116.0,-2665.0,-781.0,-485.0,-315.75,MountainCar-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64]
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,-593.25,390.19,-97.0,-3045.0,-770.0,-499.0,-307.5,MountainCar-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~128~64~32]
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,-1081.36,666.57,-277.0,-4435.0,-1352.25,-938.0,-642.5,MountainCar-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[64]
MountainCar_DQN_PCA_EpsilonGreedy_notes_cpu,-628.63,435.91,-115.0,-2518.0,-795.0,-485.0,-332.0,MountainCar-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64~32]
Acrobot_DQN_PCA_EpsilonGreedy_notes_cpu,-851.17,407.26,-189.0,-2428.0,-1093.75,-763.0,-542.5,Acrobot-v1,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64~32]
Acrobot_DQN_PCA_EpsilonGreedy_notes_cpu,-804.32,362.97,-183.0,-2087.0,-1027.0,-734.0,-520.0,Acrobot-v1,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~128~64~32]
Acrobot_DQN_PCA_EpsilonGreedy_notes_cpu,-841.71,450.55,-179.0,-2474.0,-985.5,-740.0,-548.5,Acrobot-v1,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128]
Acrobot_DQN_PCA_EpsilonGreedy_notes_cpu,-1703.06,1037.11,-347.0,-5607.0,-2147.5,-1468.0,-901.0,Acrobot-v1,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64]
Acrobot_DQN_PCA_EpsilonGreedy_notes_cpu,-737.06,376.79,-165.0,-2202.0,-915.0,-667.0,-455.0,Acrobot-v1,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[64]
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,29.78,16.0,123.0,8.0,16.0,28.0,39.0,CartPole-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64]
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,23.26,15.52,129.0,8.0,10.0,20.0,31.0,CartPole-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[64]
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,20.26,13.69,107.0,8.0,10.0,14.0,27.0,CartPole-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~64~32]
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,13.04,5.26,62.0,8.0,9.0,10.0,16.0,CartPole-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128~128~64~32]
CartPole_DQN_PCA_EpsilonGreedy_notes_cpu,26.71,16.7,140.0,8.0,11.0,25.0,37.0,CartPole-v0,DQN_PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128]
