key,mean,std,max,min,25,50,75,game,model,agent,n_trains,processing,target_update,frame_skip,update_frequency,batch_size,gamma,initial_learning_rate,annealing,optimizer,loss_function,weight_decay,layer_sizes
7850896854431805,-1829.03,1282.09,-238.0,-9809.0,-2442.5,-1449.0,-900.0,MountainCar-v0,DQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
2607180245905022,-640.4,430.87,-109.0,-3371.0,-813.5,-523.5,-345.25,MountainCar-v0,DQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
6500816493196225,-660.19,471.74,-102.0,-3688.0,-840.0,-518.0,-330.5,MountainCar-v0,DQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
1377849923352814,-135.79,29.42,-84.0,-401.0,-155.0,-126.0,-116.25,MountainCar-v0,DDQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
43174581432456416,-1023.27,660.41,-190.0,-4382.0,-1261.0,-829.0,-580.0,MountainCar-v0,DDQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
8748241820034945,-197.65,53.98,-88.0,-791.0,-212.0,-189.0,-169.0,MountainCar-v0,DDQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
13328678330800403,-628.63,414.24,-116.0,-3654.0,-787.25,-511.5,-351.0,MountainCar-v0,DDQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
28677063260994207,-176.94,63.44,-86.0,-1259.0,-203.0,-170.0,-125.0,MountainCar-v0,DQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
3980774710480487,-680.92,344.29,-113.0,-2352.0,-836.0,-604.5,-436.0,Acrobot-v1,DDQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
7227643899122286,-2353.2,1410.17,-281.0,-10002.0,-2976.75,-1921.0,-1374.5,Acrobot-v1,DQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
10651164795112511,-681.62,629.47,-74.0,-10002.0,-912.25,-544.5,-239.0,Acrobot-v1,DDQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
2982057119874969,-106.09,37.88,-63.0,-445.0,-120.0,-97.0,-80.0,Acrobot-v1,DDQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
6618381801632995,-218.67,155.54,-66.0,-2227.0,-248.0,-178.5,-135.25,Acrobot-v1,DQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
2551244343186456,-567.69,380.32,-90.0,-3421.0,-717.0,-467.0,-306.0,Acrobot-v1,DDQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
43562618566520084,-858.64,419.35,-171.0,-4451.0,-1069.0,-774.0,-573.0,Acrobot-v1,DQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
24204164796530792,-696.37,376.61,-92.0,-2576.0,-860.75,-615.5,-438.0,Acrobot-v1,DQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
7290970991761578,50.81,22.71,193.0,8.0,35.0,49.0,64.0,CartPole-v0,DQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
9719169402422618,83.34,49.25,408.0,8.0,48.0,77.0,111.0,CartPole-v0,DDQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
8717529996941504,58.69,32.4,252.0,8.0,36.0,55.0,77.0,CartPole-v0,DDQCNN-PCA-Mini,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
4939921873244991,44.76,26.82,229.0,8.0,23.0,40.0,59.0,CartPole-v0,DDQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
13015579649694198,62.53,30.95,298.0,8.0,41.0,58.0,79.0,CartPole-v0,DQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
8258229151478143,31.59,21.88,234.0,8.0,14.0,26.0,44.0,CartPole-v0,DQN-GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
04451722230910249,70.5,39.64,344.0,8.0,42.0,64.0,91.0,CartPole-v0,DDQCNN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,Default
11037327589054147,29.56,16.25,167.0,8.0,16.0,28.0,39.0,CartPole-v0,DQN-PCA,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
