key,mean,std,max,min,25,50,75,Game,Model,Agent,N Trains,Processing,Has target network,Frame skip,Update frequency,batch size,gamma,Initial learning rate,learning rate annealing,Optimizer,Loss Function,weight decay
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__02_04_42_672009,34.2,17.46,123.0,9.0,21.0,32.0,45.0,CartPole-v0,DDQN_GS,EpsilonGreedy,10000,cpu,sort of. this is a DDQN,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__01_45_08_635063,24.96,15.81,128.0,9.0,11.0,21.0,33.0,CartPole-v0,DQN_GS,EpsilonGreedy,10000,cpu,False,3,4,128,0.99,0.0001,True,RMSprop,MSE,0.001
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__03_23_33_490838,10.71,1.76,34.0,9.0,10.0,10.0,11.0,CartPole-v0,DDQN_GS,EpsilonGreedy,10000,cpu,sort of. this is a DDQN,3,4,128,0.99,0.0001,False,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__01_32_44_355603,22.69,15.44,246.0,9.0,11.0,19.0,29.0,CartPole-v0,DDQN_GS,EpsilonGreedy,10000,cpu,sort of. this is a DDQN,3,4,128,0.99,0.001,False,RMSprop,MSE,0.001
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__03_30_42_876196,32.13,17.18,133.0,9.0,20.0,30.0,42.0,CartPole-v0,DDQN_GS,EpsilonGreedy,10000,cpu,sort of. this is a DDQN,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__01_50_35_596772,30.13,17.01,159.0,9.0,18.0,27.0,39.0,CartPole-v0,DQN_GS,EpsilonGreedy,10000,cpu,False,3,4,128,0.99,0.0001,False,RMSprop,Huber,0.1
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__03_56_57_449860,16.71,8.88,106.0,9.0,11.0,12.0,19.0,CartPole-v0,DQN_GS,EpsilonGreedy,10000,cpu,True,3,4,128,0.99,0.0001,False,RMSprop,Huber,0.001
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__02_29_34_145853,26.97,16.54,158.0,9.0,14.0,22.0,36.0,CartPole-v0,DQN_GS,EpsilonGreedy,10000,cpu,False,3,4,128,0.99,0.001,False,RMSprop,MSE,0.1
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__02_18_58_564254,33.29,19.37,129.0,9.0,19.0,29.0,44.0,CartPole-v0,DQN_GS,EpsilonGreedy,10000,cpu,False,3,4,128,0.99,0.0001,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__01_50_35_594652,27.55,16.31,131.0,9.0,17.0,20.0,34.0,CartPole-v0,DDQN_GS,EpsilonGreedy,10000,cpu,sort of. this is a DDQN,3,4,128,0.99,0.0001,False,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__01_50_32_397513,28.45,17.01,132.0,9.0,14.0,25.0,38.0,CartPole-v0,DDQN_GS,EpsilonGreedy,10000,cpu,sort of. this is a DDQN,3,4,128,0.99,0.0001,True,RMSprop,MSE,0.001
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__02_50_17_098636,11.47,3.76,82.0,9.0,10.0,11.0,11.0,CartPole-v0,DDQN_GS,EpsilonGreedy,10000,cpu,sort of. this is a DDQN,3,4,128,0.99,0.0001,True,RMSprop,MSE,0.1
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__04_14_24_633611,16.62,8.86,94.0,9.0,11.0,13.0,19.0,CartPole-v0,DQN_GS,EpsilonGreedy,10000,cpu,True,3,4,128,0.99,0.0001,False,RMSprop,MSE,0.001
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__01_45_08_635201,20.18,13.42,133.0,9.0,11.0,14.0,26.0,CartPole-v0,DDQN_GS,EpsilonGreedy,10000,cpu,sort of. this is a DDQN,3,4,128,0.99,0.001,True,RMSprop,MSE,0.001
CartPole_DQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__03_16_25_994002,10.79,1.95,41.0,9.0,10.0,10.0,11.0,CartPole-v0,DQN_GS,EpsilonGreedy,10000,cpu,True,3,4,128,0.99,0.001,False,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu_04-04-2018__02_53_30_559394,24.52,16.28,123.0,9.0,11.0,20.0,32.0,CartPole-v0,DDQN_GS,EpsilonGreedy,10000,cpu,sort of. this is a DDQN,3,4,128,0.99,0.001,False,RMSprop,MSE,0.001
