key,mean,std,max,min,25,50,75,game,model,agent,n_trains,processing,target_update,frame_skip,update_frequency,batch_size,gamma,initial_learning_rate,annealing,optimizer,loss_function,weight_decay
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,224.76,59.65,732.0,116.0,178.0,215.0,258.0,MountainCar-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,883.25,601.97,4763.0,150.0,468.75,731.0,1112.0,MountainCar-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.01,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,258.19,111.89,1511.0,93.0,187.0,242.0,286.0,MountainCar-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,343.39,128.86,1045.0,160.0,261.0,312.0,396.0,MountainCar-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.005,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,8223.0,1780.0,10003.0,6443.0,7333.0,8223.0,9113.0,MountainCar-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.001,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,221.09,56.98,751.0,110.0,198.0,210.0,226.0,MountainCar-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.01,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,230.75,65.07,715.0,112.0,202.0,216.0,243.0,MountainCar-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.005,True,RMSprop,Huber,0.1
MountainCar_DDQN_GS_EpsilonGreedy_notes_cpu,10003.0,0.0,10003.0,10003.0,10003.0,10003.0,10003.0,MountainCar-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,165.57,67.57,989.0,66.0,123.0,149.0,188.0,Acrobot-v1,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.001,True,RMSprop,Huber,0.1
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,723.18,430.19,3442.0,129.0,437.75,608.0,889.25,Acrobot-v1,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.005,True,RMSprop,Huber,0.1
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,455.32,259.88,2456.0,99.0,274.0,386.0,556.0,Acrobot-v1,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.01,True,RMSprop,Huber,0.1
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,174.75,66.27,660.0,72.0,131.0,161.0,202.0,Acrobot-v1,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.01,True,RMSprop,Huber,0.1
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,229.93,93.22,518.0,105.0,168.0,194.0,263.0,Acrobot-v1,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,410.08,262.05,1186.0,139.0,225.25,355.0,472.0,Acrobot-v1,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.001,True,RMSprop,Huber,0.1
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,548.15,631.72,10003.0,71.0,144.5,295.0,752.0,Acrobot-v1,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
Acrobot_DDQN_GS_EpsilonGreedy_notes_cpu,118.24,34.05,438.0,65.0,96.0,111.0,131.0,Acrobot-v1,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.005,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu,10.72,1.82,47.0,9.0,10.0,10.0,11.0,CartPole-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.01,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu,50.22,24.09,231.0,9.0,33.0,47.0,63.0,CartPole-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.001,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu,51.47,25.31,251.0,9.0,33.0,48.0,65.0,CartPole-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu,10.86,2.21,76.0,9.0,10.0,10.0,11.0,CartPole-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.005,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu,11.19,2.89,39.0,9.0,10.0,11.0,11.0,CartPole-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.001,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu,47.82,24.16,248.0,9.0,31.0,45.0,61.0,CartPole-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.005,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu,52.25,27.66,272.0,9.0,31.0,49.0,67.0,CartPole-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,32,0.99,0.01,True,RMSprop,Huber,0.1
CartPole_DDQN_GS_EpsilonGreedy_notes_cpu,35.33,18.06,108.0,9.0,22.0,33.0,46.0,CartPole-v0,DDQN_GS,EpsilonGreedy,100000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1
