key,mean,std,max,min,25,50,75,game,model,agent,n_trains,processing,target_update,frame_skip,update_frequency,batch_size,gamma,initial_learning_rate,annealing,optimizer,loss_function,weight_decay,layer_sizes
08748421212283575,-215.28,58.42,-119.0,-533.0,-243.0,-206.0,-175.0,MountainCar-v0,DDQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[64]
8922256325132518,-543.03,321.29,-134.0,-1661.0,-726.5,-483.0,-296.5,MountainCar-v0,DDQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64-32]
6924910941538139,-589.79,414.6,-91.0,-2637.0,-719.0,-492.0,-296.0,MountainCar-v0,DQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64-32]
4735440191260596,-231.52,72.25,-90.0,-592.0,-266.25,-214.0,-180.0,MountainCar-v0,DDQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128]
12712902084178745,-916.36,544.53,-225.0,-2926.0,-1107.0,-788.0,-533.0,MountainCar-v0,DQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128]
6240114608614705,-1188.63,690.25,-261.0,-3404.0,-1405.25,-1021.5,-665.25,MountainCar-v0,DQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[64]
7019084936446386,-348.27,176.55,-110.0,-1625.0,-424.0,-302.0,-233.0,MountainCar-v0,DDQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
8428431800227365,-667.09,443.03,-154.0,-2914.0,-880.0,-574.0,-321.0,MountainCar-v0,DQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-128-64-32]
8089485751533169,-655.43,469.41,-106.0,-2862.0,-892.5,-495.0,-313.0,MountainCar-v0,DDQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-128-64-32]
6552230644727814,-606.97,369.7,-126.0,-1981.0,-792.5,-515.5,-336.5,MountainCar-v0,DQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
7760824412509697,-173.69,70.86,-79.0,-600.0,-199.0,-157.0,-126.0,Acrobot-v1,DDQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128]
7817072854004525,-869.4,416.42,-251.0,-2296.0,-1094.0,-776.0,-553.0,Acrobot-v1,DDQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-128-64-32]
7454989463848105,-203.75,101.31,-64.0,-969.0,-235.75,-176.5,-138.25,Acrobot-v1,DDQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
09969015677337012,-864.86,430.66,-307.0,-3466.0,-1104.0,-757.5,-562.0,Acrobot-v1,DDQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64-32]
8685976283518098,-753.1,396.2,-295.0,-2284.0,-886.0,-654.0,-486.0,Acrobot-v1,DQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[64]
3571240309206246,-297.33,149.95,-103.0,-1202.0,-347.25,-253.0,-201.5,Acrobot-v1,DDQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[64]
9421615841277932,-829.95,438.14,-248.0,-3441.0,-1007.75,-741.0,-533.75,Acrobot-v1,DQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64-32]
053669462229505305,-798.34,486.8,-185.0,-3515.0,-969.25,-674.0,-494.25,Acrobot-v1,DQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128]
9855239720650995,-798.97,380.45,-246.0,-2311.0,-931.0,-720.0,-539.5,Acrobot-v1,DQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-64]
043065181817981135,-898.98,546.6,-141.0,-3778.0,-1079.75,-779.5,-566.75,Acrobot-v1,DQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-128-64-32]
15888229384920316,55.11,22.82,187.0,8.0,38.0,55.0,69.0,CartPole-v0,DDQN-PCA,EpsilonGreedy,20000,cpu,0,3,4,128,0.99,0.001,True,RMSprop,Huber,0.1,[128-128-64-32]
